"","ID","TL_Accuracy","TL_Precision","TL_Recall","TL_F1","TL_l2","Baseline_Accuracy","Baseline_Precision","Baseline_Recall","Baseline_F1","Baseline_l2","Avg_Accuracy","Avg_Precision","Avg_Recall","Avg_F1","Avg_l2","h_value"
"Accuracy","K_1",0.905,0.951807228915663,0.840425531914894,0.892655367231638,0.939621178954155,0.85,0.872093023255814,0.797872340425532,0.833333333333333,0.762591306065048,0.905,0.951807228915663,0.840425531914894,0.892655367231638,0.56428638655468,10
"Accuracy1","K_2",0.845,0.834782608695652,0.888888888888889,0.860986547085202,0.24872596356651,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.845,0.834782608695652,0.888888888888889,0.860986547085202,0.206958290576601,10
"Accuracy2","K_3",0.845,0.853211009174312,0.861111111111111,0.857142857142857,0.196352176577169,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.845,0.853211009174312,0.861111111111111,0.857142857142857,0.173779145490831,10
"Accuracy3","K_4",0.855,0.849557522123894,0.888888888888889,0.868778280542986,0.217441905625185,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.855,0.849557522123894,0.888888888888889,0.868778280542986,0.163514998486547,10
"Accuracy4","K_5",0.835,0.826086956521739,0.87962962962963,0.852017937219731,0.18784158501774,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.835,0.826086956521739,0.87962962962963,0.852017937219731,0.159726731198094,10
"Accuracy5","K_6",0.835,0.831858407079646,0.87037037037037,0.850678733031674,0.125143361708806,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.835,0.831858407079646,0.87037037037037,0.850678733031674,0.13685706721564,10
"Accuracy6","K_7",0.845,0.84070796460177,0.87962962962963,0.85972850678733,0.205657537912344,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.845,0.84070796460177,0.87962962962963,0.85972850678733,0.117309686396329,10
"Accuracy7","K_8",0.85,0.848214285714286,0.87962962962963,0.863636363636364,0.210062489777557,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.85,0.848214285714286,0.87962962962963,0.863636363636364,0.117007020528187,10
"Accuracy8","K_9",0.84,0.845454545454545,0.861111111111111,0.853211009174312,0.0771444782307707,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.84,0.845454545454545,0.861111111111111,0.853211009174312,0.0919160957199222,10
"Accuracy9","K_10",0.85,0.842105263157895,0.888888888888889,0.864864864864865,0.218875810276135,0.805,0.822429906542056,0.814814814814815,0.818604651162791,0.287352110062998,0.85,0.842105263157895,0.888888888888889,0.864864864864865,0.0878937158769532,10
